Region,Volume,XYZ_1,XYZ_2,XYZ_3,maxZ,modal_label_descriptions,Perc_covered_by_label,Atlas_regions_covered,region_index
Cblm_VIIIa_L,1272,-28,-54,-54,-3.53711843490601,Cerebellum,56,0,1
Cblm_CrusII_R,2688,15,-75,-42,4.84708261489868,Cerebellum,52,0,2
Cblm_VIIIb_R,1984,21,-48,-45,4.45035266876221,Cerebellum,50,0,3
Cblm_CrusI_R,1240,51,-54,-42,-3.50550055503845,Cerebellum,85,0,4
Cblm_Vermis_IX,1296,-1,-57,-39,4.57885885238647,Cerebellum,35,2,5
Cblm_CrusI_L,1392,-43,-51,-33,-4.97528791427612,Cerebellum,100,0,6
Ctx_TE1a_R,1456,57,1,-30,4.32823038101196,Cortex_Default_ModeA,65,0,7
Ctx_TE1p_R,3472,57,-51,-24,-5.19539260864258,Cortex_Fronto_ParietalB,38,0,8
Multiple regions,28136,-37,-66,-3,7.03448691004784,Cerebellum,8,17,9
Ctx_47s_R,1824,27,28,-21,4.67767000198364,Cortex_Default_ModeB,26,1,10
Cblm_CrusI_R,1744,15,-93,-18,-4.11959075927734,Cerebellum,35,0,11
Cblm_CrusI_L,1176,-22,-81,-18,4.39997816085815,Cerebellum,50,0,12
Cblm_VI_R,2544,15,-66,-12,-5.66040372848511,Cerebellum,61,0,13
Multiple regions,8608,30,-51,-12,6.74745416641235,Cerebellum,14,7,14
Amygdala_LB_,2336,-25,-6,-12,4.82824182510376,Amygdala,25,3,15
Ctx_Pir_L,2648,-37,1,-9,4.35386419296265,Cortex_Limbic,14,1,16
Ctx_PHA1_R,1696,21,-33,-15,-4.85963010787964,Cortex_Visual_Peripheral,45,1,17
Ctx_TPOJ2_R,6208,48,-75,1,-6.99103212356567,Cortex_Dorsal_AttentionA,16,5,18
Multiple regions,3160,3,-27,-6,4.326012134552,Brainstem,17,7,19
Ctx_V2_L,1320,-28,-90,-9,4.7472882270813,Cortex_Visual_Peripheral,42,0,20
Ctx_V3_R,2280,21,-81,-6,-5.29940032958984,Cortex_Visual_Central,29,0,21
Ctx_PH_R,3168,48,-60,-6,6.00473213195801,Cortex_Dorsal_AttentionA,58,1,22
Putamen_Pp_R,1984,27,-6,-9,4.8149938583374,Basal_ganglia,29,2,23
Ctx_p47r_R,864,48,40,-6,3.94830989837646,Cortex_Ventral_AttentionB,69,1,24
Ctx_a47r_L,4176,-37,61,4,-5.05074453353882,Cortex_Fronto_ParietalB,34,1,25
Ctx_V2_L,1040,-16,-78,-6,4.31912517547607,Cortex_Visual_Peripheral,55,0,26
Cau_R,1088,3,25,-6,-4.85517597198486,Basal_ganglia,35,0,27
Ctx_10v_R,4320,-1,58,-6,-5.50450134277344,Cortex_Default_ModeA,24,2,28
Ctx_V1_L,2496,-13,-99,-3,-4.55833530426025,Cortex_Visual_Peripheral,63,0,29
Ctx_V2_L,944,-13,-66,1,-4.51822805404663,Cortex_Visual_Peripheral,44,0,30
Ctx_ProS_L,1176,-22,-42,1,-4.41983127593994,Cortex_Visual_Peripheral,27,0,31
Ctx_STV_L,9352,-55,-51,16,-5.45458078384399,Cortex_Temporal_Parietal,18,5,32
Ctx_V1_R,7080,15,-93,19,-7.20468473434448,Cortex_Visual_Peripheral,14,2,33
Ctx_LO3_R,3168,33,-81,10,5.76325511932373,Cortex_Visual_Central,19,3,34
