Region,Volume,XYZ_1,XYZ_2,XYZ_3,maxZ,modal_label_descriptions,Perc_covered_by_label,Atlas_regions_covered,region_index
Cblm_VIIb_R,1896,15,-72,-48,-3.84944033622742,Cerebellum,38,0,1
Cblm_CrusI_R,1608,54,-51,-24,4.15323829650879,Cerebellum,55,0,2
Ctx_13l_R,2088,27,28,-24,-4.57198524475098,Cortex_Limbic,21,0,3
Cblm_VI_L,1104,-7,-69,-24,-4.43542194366455,Cerebellum,67,0,4
Multiple regions,27192,-28,-63,-12,-8.33555603027344,Cerebellum,11,11,5
Ctx_TE2a_L,1328,-52,-12,-24,-4.21351051330566,Cortex_Limbic,25,0,6
Ctx_TE2p_R,3280,42,-42,-21,5.17391872406006,Cortex_Dorsal_AttentionA,41,2,7
Multiple regions,10296,30,-51,-12,-6.68831729888916,Cerebellum,12,6,8
Cblm_VI_R,2568,15,-66,-12,5.16060972213745,Cerebellum,69,0,9
Ctx_PIT_L,1864,-43,-84,-15,4.80168485641479,Cortex_Visual_Central,38,1,10
Multiple regions,19768,51,-63,7,7.03448691004784,Cortex_Temporal_Parietal,10,10,11
Ctx_PHA1_R,1344,18,-36,-15,5.14327096939087,Cortex_Visual_Peripheral,48,1,12
Ctx_s32_L,1392,-7,40,-15,-4.40897750854492,Cortex_Default_ModeA,45,1,13
Ctx_V1_R,1944,24,-96,-9,-4.43491268157959,Cortex_Visual_Peripheral,31,0,14
Ctx_V4_R,1680,24,-81,-6,5.06949090957642,Cortex_Visual_Central,33,0,15
Ctx_PH_R,2920,51,-60,-6,-5.3486647605896,Cortex_Dorsal_AttentionA,49,2,16
Ctx_10v_R,3856,-1,58,-6,5.2335958480835,Cortex_Default_ModeA,29,1,17
Ctx_V1_L,18024,-4,-75,13,6.05191802978516,Cortex_Visual_Peripheral,20,2,18
Ctx_ProS_R,1248,18,-48,-3,4.05517101287842,Cortex_Visual_Peripheral,37,2,19
Multiple regions,11608,-49,-63,13,5.80566167831421,Cortex_Dorsal_AttentionA,12,7,20
Ctx_ProS_R,1664,24,-57,4,3.91640686988831,Cortex_Visual_Peripheral,25,1,21
Ctx_AVI_R,2496,39,22,1,-4.44565916061401,Cortex_Ventral_AttentionB,26,2,22
Ctx_V1_R,2264,9,-102,7,6.7441234588623,Cortex_Visual_Peripheral,50,0,23
Ctx_V4_L,7480,-34,-90,19,-6.9892144203186,Cortex_Visual_Central,14,4,24
Ctx_LO1_R,1944,36,-81,10,-4.73562479019165,Cortex_Visual_Central,21,2,25
Ctx_9m_L,4408,-1,43,40,-4.60182523727417,Cortex_Default_ModeB,22,0,26
Ctx_POS2_R,2328,15,-69,37,-5.37581205368042,Cortex_Fronto_ParietalC,48,2,27
Ctx_IP1_R,2528,30,-75,40,-5.00916051864624,Cortex_Dorsal_AttentionA,25,1,28
Ctx_7m_R,4032,3,-60,43,4.35245227813721,Cortex_Default_ModeA,22,2,29
Ctx_PF_R,1280,63,-27,40,4.12112951278687,Cortex_Ventral_AttentionA,76,0,30
Ctx_8BM_R,3584,6,19,49,-4.24821758270264,Cortex_Fronto_ParietalB,25,0,31
Ctx_PFm_L,1824,-49,-48,52,4.28207302093506,Cortex_Fronto_ParietalB,27,0,32
Ctx_PF_R,3960,54,-36,52,5.69233751296997,Cortex_Ventral_AttentionA,19,0,33
Ctx_1_L,2128,-55,-21,52,4.39785671234131,Cortex_SomatomotorA,41,0,34
