Region,Volume,XYZ_1,XYZ_2,XYZ_3,maxZ,modal_label_descriptions,Perc_covered_by_label,Atlas_regions_covered,region_index
Ctx_TGd_R,1368,48,10,-33,4.38046789169312,Cortex_Limbic,95,0,1
Ctx_TE2p_R,4072,42,-48,-21,6.56509256362915,Cortex_Dorsal_AttentionA,34,2,2
Ctx_V2_L,12352,-19,-75,-9,-6.47880220413208,Cortex_Visual_Peripheral,20,4,3
Ctx_PIT_L,1568,-43,-84,-15,5.15773296356201,Cortex_Visual_Central,41,1,4
Ctx_PIT_R,5752,45,-81,-6,6.49896478652954,Cortex_Visual_Central,22,3,5
Ctx_VMV3_R,2248,30,-57,-9,-5.89062166213989,Cortex_Visual_Peripheral,24,2,6
Ctx_PH_L,3160,-46,-69,-6,-6.31417989730835,Cortex_Dorsal_AttentionA,32,2,7
Ctx_STSda_R,1088,57,-12,-12,4.23876190185547,Cortex_Temporal_Parietal,40,0,8
Ctx_TA2_R,1200,51,10,-6,3.8184802532196,Cortex_SomatomotorB,44,0,9
Ctx_V1_R,3080,21,-54,1,5.18318128585815,Cortex_Visual_Peripheral,27,2,10
Ctx_LO3_L,2632,-52,-75,10,4.47393798828125,Cortex_Visual_Central,22,3,11
Ctx_V1_L,3344,-10,-66,4,5.03343200683594,Cortex_Visual_Peripheral,48,0,12
Ctx_V1_L,3024,-13,-75,16,4.56521463394165,Cortex_Visual_Peripheral,53,0,13
Ctx_V3CD_L,1480,-37,-93,16,-4.73342800140381,Cortex_Visual_Central,32,1,14
Ctx_TPOJ2_R,1224,51,-63,13,3.8799843788147,Cortex_Dorsal_AttentionA,59,0,15
Ctx_PSL_R,3120,60,-45,22,4.78056859970093,Cortex_Temporal_Parietal,34,2,16
Ctx_V7_L,960,-22,-90,31,-4.81775379180908,Cortex_Visual_Central,26,0,17
Ctx_V3_L,1752,-4,-84,34,4.68586397171021,Cortex_Visual_Central,34,0,18
Ctx_IP1_R,1112,30,-78,40,-5.20915699005127,Cortex_Dorsal_AttentionA,28,0,19
Ctx_8BM_R,1344,-1,40,43,-4.19450187683105,Cortex_Fronto_ParietalB,42,0,20
Ctx_PF_R,1592,57,-27,55,4.72471475601196,Cortex_Ventral_AttentionA,18,0,21
Ctx_1_R,1808,36,-36,64,-4.27891302108765,Cortex_SomatomotorA,42,0,22
